First ,Middle,Last,University,Elsevier ID,Comments about Elsevier IDs,Home department,Secondary department (if any),Note:
Jinyang,,Li,NYU,8921684800,,Department of Computer Science,,
Mengling,,Liu,NYU,10044882600,,Department of Population Health,,
Alessandro ,S,Lizzeri,NYU,6603644753,,Department of Economics,,
Ying,,Lu,NYU,55506533800,,Department of Humanities and Social Sciences in the Professions,,
Andrew,J,Majda,NYU,7004978125,,Department of Mathematics,,
Suzanne,,McIntosh,NYU,Ambiguous,,Department of Computer Science,,
Edward,L,Melnick,NYU,54886347300,,"Department of Information, Operations and Management Sciences",,
Joel,,Middleton,NYU,NONE,,Department of Humanities and Social Sciences in the Professions,,
Bud,,Mishra,NYU,55433568100,,Department of Computer Science,,
Charles,M,Newman,NYU,7202990634,,Department of Mathematics,,
Patrick,O,Perry,NYU,23028931600,,"Department of Information, Operations and Management Sciences",,
Bijan,,Pesaran,NYU,6602940560,,Center for Neural Science,,
Michael,D,Purugganan,NYU,7006356002,,Department of Biology,,
Keith,W,Ross,NYU,7202122991,,Department of Computer Science and Engineering,,
Marc,A,Scott,NYU,35579630200,,Department of Humanities and Social Sciences in the Professions,,
Yongzhao,,Shao,NYU,7201599050,,Department of Population Health,,
Dennis,E,Shasha,NYU,7005430203,,Department of Computer Science,,
Jeffrey,S,Simonoff,NYU,6603841077,,"Department of Information, Operations and Management Sciences",,
Alexander,R,Statnikov,NYU,10241774000,,Department of Medicine,,
Lakshminarayanan,,Subramanian,NYU,7005384316,,Department of Computer Science,,
Torsten,,Suel,NYU,55937037300,,Department of Computer Science and Engineering,,
Arun,,Sundararajan,NYU,7003785482,,"Department of Information, Operations and Management Sciences",,
Esteban,G,Tabak,NYU,6701511841,,Department of Mathematics,,
Aaron,,Tenenbein,NYU,6505860834,,"Department of Information, Operations and Management Sciences",,
Eric,,Vanden-Eijnden,NYU,55664338700,,Department of Mathematics,,
Sharon,L,Weinberg,NYU,7101675969,,Department of Humanities and Social Sciences in the Professions,,
Margaret,,Wright,NYU,7401558620,,Department of Computer Science,,
Laura,E,Noren,NYU,56167150500,,"Department of Media, Culture and Communication",Department of Sociology,Center for Data Science
Andreas,,Muller,NYU,NONE,,Center for Data Science,,
Brian,,McFee,NYU,34875379700,,Center for Data Science,,
Brenden,M,Lake,NYU,26967746300,,Center for Data Science,,
Daniela,,Huppenkothen,NYU,35731349000,,Department of Physics,Center for Data Science,
